2026-04-02 18:33:36 [wxauto4(41.1.2)] [DEBUG] [chatbox.py:154]  发送消息: 你好！很高兴见到你，有什么我可以帮助你的吗？
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6DC0>
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6DC0> completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6D30>
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6D30> completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, '\n                INSERT OR REPLACE INTO conversation_context (contact_id, context_json, updated_at)\n                VALUES (?, ?, ?)\n            ', (3, '[{"role": "user", "content": "你好"}, {"role": "assistant", "content": "你好！很高兴见到你，有什么我可以帮助你的吗？"}]', '2026-04-02T18:33:37.275194'))
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, '\n                INSERT OR REPLACE INTO conversation_context (contact_id, context_json, updated_at)\n                VALUES (?, ?, ?)\n            ', (3, '[{"role": "user", "content": "你好"}, {"role": "assistant", "content": "你好！很高兴见到你，有什么我可以帮助你的吗？"}]', '2026-04-02T18:33:37.275194')) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6DC0>
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6DC0> completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6310>
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6310> completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259C60>, 'SELECT * FROM contacts WHERE wx_id = ?', ('迟遇',))
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259C60>, 'SELECT * FROM contacts WHERE wx_id = ?', ('迟遇',)) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259C60>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259C60>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6EE0>
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6EE0> completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6550>
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6550> completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259C60>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'received', '你好！很高兴见到你，有什么我可以帮助你的吗？', '2026-04-02T18:33:41.746674'))
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259C60>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'received', '你好！很高兴见到你，有什么我可以帮助你的吗？', '2026-04-02T18:33:41.746674')) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259C60>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259C60>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259C60>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259C60>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6EE0>
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6EE0> completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6E50>
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6E50> completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259C60>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,))
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259C60>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,)) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259C60>)
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259C60>) completed
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6310>
2026-04-02 18:33:41 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6310> completed
2026-04-02 18:33:45 [wechat_custody] [INFO] [message_handler.py:128]  AI 回复 迟遇: 你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需...
2026-04-02 18:33:45 [wxauto4(41.1.2)] [DEBUG] [chatbox.py:154]  发送消息: 你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需要帮助的地方尽管告诉我哦！
2026-04-02 18:33:46 [wechat_custody] [INFO] [wechat_client.py:122]  发送消息给 迟遇: 你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需...
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6F70>
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6F70> completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'sent', '你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需要帮助的地方尽管告诉我哦！', '2026-04-02T18:33:46.026587'))
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'sent', '你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需要帮助的地方尽管告诉我哦！', '2026-04-02T18:33:46.026587')) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6E50>
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6E50> completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6EE0>
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6EE0> completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,))
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,)) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6310>
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6310> completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6E50>
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6E50> completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, '\n                INSERT OR REPLACE INTO conversation_context (contact_id, context_json, updated_at)\n                VALUES (?, ?, ?)\n            ', (3, '[{"role": "user", "content": "你好"}, {"role": "assistant", "content": "你好！很高兴见到你，有什么我可以帮助你的吗？"}, {"role": "user", "content": "你好！很高兴见到你，有什么我可以帮助你的吗？"}, {"role": "assistant", "content": "你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需要帮助的地方尽管告诉我哦！"}]', '2026-04-02T18:33:46.058848'))
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259D50>, '\n                INSERT OR REPLACE INTO conversation_context (contact_id, context_json, updated_at)\n                VALUES (?, ?, ?)\n            ', (3, '[{"role": "user", "content": "你好"}, {"role": "assistant", "content": "你好！很高兴见到你，有什么我可以帮助你的吗？"}, {"role": "user", "content": "你好！很高兴见到你，有什么我可以帮助你的吗？"}, {"role": "assistant", "content": "你好！我也很高兴见到你。看起来你是想互相帮助嘛，我能为你提供什么服务或信息呢？如果你有任何问题或者需要帮助的地方尽管告诉我哦！"}]', '2026-04-02T18:33:46.058848')) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>)
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259D50>) completed
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6550>
2026-04-02 18:33:46 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6550> completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D64C0>
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D64C0> completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, 'SELECT * FROM contacts WHERE wx_id = ?', ('迟遇',))
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, 'SELECT * FROM contacts WHERE wx_id = ?', ('迟遇',)) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6E50>
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6E50> completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6790>
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6790> completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'received', '很高兴认识你', '2026-04-02T18:33:50.752503'))
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'received', '很高兴认识你', '2026-04-02T18:33:50.752503')) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6E50>
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6E50> completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6310>
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6310> completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,))
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,)) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D64C0>
2026-04-02 18:33:50 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D64C0> completed
2026-04-02 18:33:53 [wechat_custody] [INFO] [message_handler.py:128]  AI 回复 迟遇: 很高兴认识你！希望我们能有更多的交流和帮助。如果有任何问题或需要讨论的话题，随时可以找我。...
2026-04-02 18:33:54 [wxauto4(41.1.2)] [DEBUG] [chatbox.py:154]  发送消息: 很高兴认识你！希望我们能有更多的交流和帮助。如果有任何问题或需要讨论的话题，随时可以找我。
2026-04-02 18:33:54 [wechat_custody] [INFO] [wechat_client.py:122]  发送消息给 迟遇: 很高兴认识你！希望我们能有更多的交流和帮助。如果有任何问题或需要讨论的话题，随时可以找我。...
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6EE0>
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6EE0> completed
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'sent', '很高兴认识你！希望我们能有更多的交流和帮助。如果有任何问题或需要讨论的话题，随时可以找我。', '2026-04-02T18:33:54.740631'))
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'sent', '很高兴认识你！希望我们能有更多的交流和帮助。如果有任何问题或需要讨论的话题，随时可以找我。', '2026-04-02T18:33:54.740631')) completed
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:54 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>) completed
